angDist,AllWISE,RAJ2000,DEJ2000,eeMaj,eeMin,eePA,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,ID,ccf,ex,var,qph,pmRA,e_pmRA,pmDE,e_pmDE,d2M,Cohen,IRAS PSC,IRAS FSC,Name,HR #,HD #,SpectralTypes,12[Jy],25[Jy],12[Jy],25[Jy],R.A.,Decl.,CommentOnSIMBAD,R.A.(h),R.A.(m),R.A.(s),Decl.(deg),Decl.(m),Decl.(s),ra,dec
0.755141,J010845.64+861525.5,17.1902004,+86.2570837,0.0269,0.0176,59.1,-1.055,-0.391,1.554,1.451,2.355,1.887,1.656,,,0.020,0.018,0.316,0.200,0.238,199186301351032259,hh00,0,nn41,UUAA,-461,27,-250,31,0.704,HD5848,01015+8559,F01015+8559,SAO 181,HR 285,HD 5848,K2II-III,10.78,2.601,11.2,2.57,01 08 44.8773,+86 15 25.525,Star,1,8,44.8773,86,15,25.525,17.18698875,86.25709028
0.171830,J010309.89+530825.5,15.7912453,+53.1404388,0.0283,0.0180,95.1,-0.559,0.409,1.732,1.549,3.177,2.241,1.820,,,0.017,0.014,0.256,0.178,0.234,147153001351024564,hh00,0,nn40,UUAA,-300,30,-318,27,0.118,HD6112,01002+5252,Z01001+5252,,,HD 6112,M0III,8.849,2.415,8.98,2.41,01 03 09.8811,+53 08 25.517,Variable Star,1,3,9.8811,53,8,25.517,15.79117125,53.14042139
1.005464,J010256.54+075324.5,15.7355870,+7.8901543,0.0206,0.0159,131.3,0.467,0.316,2.043,1.910,2.676,2.235,2.121,,,0.012,0.015,0.290,0.262,0.270,152107501351044833,0h00,0,nn30,UUAA,-1103,42,-739,43,1.224,HD6186,01003+0737,F01003+0737,EPS PSC,HR 294,HD 6186,K0III,7.131,1.833,7.14,1.84,01 02 56.6084,+07 53 24.488,Star,1,2,56.6084,7,53,24.488,15.73586833,7.890135556
0.989267,J011019.45+252726.9,17.5810823,+25.4574904,0.0301,0.0242,58.1,0.468,0.852,2.257,2.142,3.302,2.549,2.290,,,0.017,0.018,0.304,0.206,0.244,183125701351012641,hh00,0,nn11,UUAA,135,28,279,29,1.046,HD6953,01075+2511,F01075+2511,,HR 341,HD 6953,K7III,5.337,1.358,5.28,1.35,01 10 19.4513,+25 27 27.948,Star,1,10,19.4513,25,27,27.948,17.58104708,25.45776333
0.235108,J011344.95+243501.1,18.4373128,+24.5836552,0.0195,0.0141,35.1,0.701,0.968,2.345,2.272,2.911,2.434,2.376,,,0.009,0.018,0.292,0.226,0.306,181124201351045770,hh00,0,nn30,UUAA,93,28,70,29,0.136,HD7318,01110+2419,F01110+2419,PHI PSC,HR 360,HD 7318,K0III,5.935,1.153,6.1,1.25,01 13 44.9471,+24 35 01.367,Star in double system,1,13,44.9471,24,35,1.367,18.43727958,24.58371306
0.499763,J011705.09+445406.8,19.2712399,+44.9018956,0.0269,0.0238,39.3,0.209,0.712,2.157,2.018,3.471,2.544,2.321,,,0.016,0.020,0.308,0.238,0.284,191145401351005215,hh00,0,nn41,UUAA,94,28,66,28,0.566,HD7647,01141+4438,F01141+4438,,HR 372,HD 7647,K5III,6.508,1.545,6.44,1.62,01 17 05.0638,+44 54 07.172,Star,1,17,5.0638,44,54,7.172,19.27109917,44.90199222
0.142200,J012324.95+202808.1,20.8539612,+20.4689283,0.0345,0.0256,50.2,-0.530,0.140,1.664,1.535,2.597,1.738,1.503,,,0.023,0.021,0.226,0.170,0.190,209121201351005119,hh00,0,nn10,UUAA,92,37,-373,34,0.368,HD8388,01207+2012,F01207+2012,,HR 397,HD 8388,K7III,9.71,2.458,9.56,2.35,01 23 24.9490,+20 28 08.282,Star,1,23,24.949,20,28,8.282,20.85395417,20.46896722
3.703419,J012330.79-290318.7,20.8783008,-29.0552166,0.1712,0.1579,138.4,16.206,16.049,12.082,8.853,,,,0.059,0.158,0.291,,,,,205028801351022291,0000,0,0nnn,ABBU,-518,661,-80,667,,HD8498,01211-3112,F01211-3112,,HR 400,HD 8498,M0III,9.219,2.333,9.43,2.26,01 23 30.9575,-30 56 44.223,Star,1,23,30.9575,-30,56,44.223,20.87898958,-29.0543825
2.910827,J013011.30+060837.1,22.5471100,+6.1436600,0.0523,0.0429,114.0,-0.917,-0.124,1.535,1.410,2.521,1.801,1.663,,,0.041,0.015,0.280,0.280,0.286,227106001351027224,hhH0,0,nnn0,UUAA,-588,59,-394,53,2.488,HD9138,01275+0553,F01275+0553,MUU PSC,HR 434,HD 9138,K3III,10.8,2.579,11.0,2.59,01 30 11.1151,+06 08 37.754,High proper-motion star,1,30,11.1151,6,8,37.754,22.54631292,6.143820556
1.330959,J013759.63+483740.5,24.4984890,+48.6279188,0.0216,0.0178,109.9,-1.662,-0.494,0.732,0.659,1.420,0.741,0.649,,,0.020,0.013,0.242,0.154,0.204,247148401351040628,hh00,0,nn11,UUAA,150,28,261,25,1.424,HD9927,01349+4822,F01349+4822,51 AND,HR 464,HD 9927,K3-III,23.19,5.216,22.0,5.27,01 37 59.5561,+48 37 41.567,Star,1,37,59.5561,48,37,41.567,24.49815042,48.62821306
0.227477,J014013.12+535205.9,25.0546782,+53.8683118,0.0256,0.0165,129.5,0.421,0.730,2.308,2.171,3.194,2.382,2.049,,,0.011,0.015,0.244,0.168,0.228,255154501351008103,HHH0,0,nnn0,UUAA,588,26,296,26,0.151,HD10110,01370+5336,Z01370+5336,,HR 470,HD 10110,K5III,5.198,1.365,5.13,1.43,01 40 13.1011,+53 52 05.800,Star,1,40,13.1011,53,52,5.8,25.05458792,53.86827778
0.226038,J014125.88+052915.5,25.3578414,+5.4876498,0.0148,0.0141,168.2,-1.235,-0.381,1.226,1.144,2.195,1.495,1.357,,,0.014,0.014,0.308,0.260,0.308,258106001351006982,hh00,0,nn10,UUAA,25,23,52,24,0.156,HD10380,01388+0514,F01388+0514,NUU PSC,HR 489,HD 10380,K3IIIb,13.93,3.389,14.1,3.43,01 41 25.8943,+05 29 15.409,Star,1,41,25.8943,5,29,15.409,25.35789292,5.487613611
