Cohen,IRAS PSC,IRAS FSC,Name,HR #,HD #,SpectralTypes,12[Jy],25[Jy],12[Jy],25[Jy],R.A.,Decl.,CommentOnSIMBAD,R.A.(h),R.A.(m),R.A.(s),Decl.(deg),Decl.(m),Decl.(s),ra,dec
HD45866,06327+7802,F06327+7802,,HR 2363,HD 45866,K5III,5.322,1.327,5.45,1.34,06 40 28.8772,+77 59 44.817,Star,6,40,28.8772,77,59,44.817,100.1203217,77.9957825
HD46037,06280-1910,F06280-1910,,,HD 46037,M0-1III,7.126,1.812,7.12,1.84,06 30 11.8178,-19 12 53.602,Star,6,30,11.8178,-19,12,53.602,97.54924083,-18.78511056
HD46184,06290-1221,F06290-1221,,HR 2379,HD 46184,K3III,5.332,1.239,5.2,1.25,06 31 23.0449,-12 23 31.030,Star in double system,6,31,23.0449,-12,23,31.03,97.84602042,-11.60804722
HD46815,06320-3611,F06320-3611,AFGL 4509S,HR 2411,HD 46815,K3III,5.68,1.391,5.71,1.37,06 33 49.4803,-36 13 55.305,Star,6,33,49.4803,-36,13,55.305,98.45616792,-35.76797083
HD47174,06357+4232,F06357+4232,PSI 2 AUR,HR 2427,HD 47174,K2-III,7.349,1.572,7.7,1.63,06 39 19.8263,+42 29 19.957,Star in double system,6,39,19.8263,42,29,19.957,99.83260958,42.48887694
HD47182,06344-1316,Z06344-1316,,HR 2428,HD 47182,K4-5III,6.045,1.477,6.24,1.45,06 36 46.5991,-13 19 15.729,Star,6,36,46.5991,-13,19,15.729,99.19416292,-12.67896417
HD47205,06345-1912,F06344-1912,NUU 2 CMA,HR 2429,HD 47205,K1.5III-IV,9.804,2.336,9.66,2.3,06 36 41.0374,-19 15 21.165,Variable star,6,36,41.0374,-19,15,21.165,99.17098917,-18.74412083
HD47536,06359-3217,F06359-3217,,HR 2447,HD 47536,K2III,5.274,1.256,5.12,1.27,06 37 47.6189,-32 20 23.045,Star,6,37,47.6189,-32,20,23.045,99.44841208,-31.66026528
HD47667,06369-1405,Z06370-1406,,HR 2450,HD 47667,K2IIIa,11.45,2.925,11.5,3.01,06 39 16.7191,-14 08 44.749,Star,6,39,16.7191,-14,8,44.749,99.81966292,-13.85423639
HD47914,06394+4434,F06394+4434,PSI 4 AUR,HR 2459,HD 47914,K5III,10.48,2.572,11.1,2.71,06 43 04.9715,+44 31 28.020,Star,6,43,4.9715,44,31,28.02,100.7707146,44.52445
HD48217,06395-0907,Z06395-0907,,HR 2469,HD 48217,M0III,11,2.62,11.1,2.69,06 41 56.3869,-09 10 03.132,Star,6,41,56.3869,-9,10,3.132,100.4849454,-8.832463333
HD48433,06411+1316,Z06411+1316,30 GEM,HR 2478,HD 48433,K0.5III,8.245,1.959,8.48,1.99,06 43 59.2927,+13 13 40.862,Star in double system,6,43,59.2927,13,13,40.862,100.9970529,13.22801722
HD49293,06452+0228,Z06452+0228,18 MON,HR 2506,HD 49293,K0+IIIa,7.054,1.625,7.25,1.7,06 47 51.6493,+02 24 43.773,Star,6,47,51.6493,2,24,43.773,101.9652054,2.412159167
HD49517,06447-5221,F06447-5221,SAO 234699,HR 2515,HD 49517,K3III,5.102,1.232,5.34,1.25,06 45 53.7179,-52 24 34.889,Star,6,45,53.7179,-52,24,34.889,101.4738246,-51.59030861
HD49520,06472+4150,F06472+4150,PSI 7 AUR,HR 2516,HD 49520,K3III,6.284,1.395,6.24,1.45,06 50 45.9444,+41 46 52.428,Star in double system,6,50,45.9444,41,46,52.428,102.691435,41.78123
HD49877,06463-5528,F06463-5529,SAO 234710,HR 2526,HD 49877,K5III,7.577,1.961,7.6,2,06 47 18.7091,-55 32 23.958,Variable star,6,47,18.7091,-55,32,23.958,101.8279546,-54.46001167
HD49968,06489+2339,F06489+2339,,HR 2533,HD 49968,K5III,5.639,1.394,5.83,1.42,06 51 59.9867,+23 36 06.185,Star,6,51,59.9867,23,36,6.185,102.9999446,23.60171806
HD50235,06490-3418,F06490-3418,SAO 197277,HR 2549,HD 50235,K5III,7.442,1.906,7.32,1.99,06 50 52.3525,-34 22 02.347,Star,6,50,52.3525,-34,22,2.347,102.7181354,-33.63268139
HD50310,06486-5033,F06486-5033,TAU PUP,HR 2553,HD 50310,K1III,33.24,8.374,34.1,8.49,06 49 56.1683,-50 36 52.415,Spectroscopic binary,6,49,56.1683,-50,36,52.415,102.4840346,-49.38544028
HD52960,07008+1101,Z07008+1101,,HR 2649,HD 52960,K3III,6.955,1.657,7.07,1.7,07 03 38.0719,+10 57 06.540,Star,7,3,38.0719,10,57,6.54,105.9086329,10.95181667
HD52976,07010+1240,Z07010+1240,,HR 2651,HD 52976,K6III,5.81,1.433,5.53,1.45,07 03 51.5990,+12 35 39.273,Star,7,3,51.599,12,35,39.273,105.9649958,12.5942425
HD53287,07025+3128,F07025+3128,,,HD 53287,M0III,6.625,1.627,6.43,1.72,07 05 47.2485,+31 23 35.804,Star,7,5,47.2485,31,23,35.804,106.4468688,31.39327889
HD53501,06599-6750,F06599-6750,SAO 249704,HR 2662,HD 53501,K3III,6.763,1.686,6.86,1.63,06 59 50.5361,-67 54 59.194,Star,6,59,50.5361,-67,54,59.194,104.9605671,-66.08355722
HD53510,07029+0915,Z07029+0915,,HR 2663,HD 53510,M0III,6.074,1.505,6.22,1.56,07 05 39.0258,+09 11 08.881,Star,7,5,39.0258,9,11,8.881,106.4126075,9.185800278
HD54716,07082+3924,F07082+3924,63 AUR,HR 2696,HD 54716,K3.5III,11.19,2.717,11.2,2.7,07 11 39.3257,+39 19 13.976,Star,7,11,39.3257,39,19,13.976,107.9138571,39.32054889
HD55526,07094-4850,F07094-4851,SAO 218514,HR 2719,HD 55526,K2III,5.941,1.458,6.04,1.48,07 10 47.4834,-48 55 55.554,High proper-motion star,7,10,47.4834,-48,55,55.554,107.6978475,-47.06790167
HD55775,07116-0348,Z07117-0348,,HR 2731,HD 55775,K5III,6.888,1.702,6.8,1.74,07 14 10.8508,-03 54 06.404,Double or multiple star,7,14,10.8508,-3,54,6.404,108.5452117,-2.098221111
HD55865,07091-7025,F07091-7024,GAM 2 VOL,HR 2736,HD 55865,K0III,12.13,2.791,12.4,2.87,07 08 44.8659,-70 29 56.154,Star in double system,7,8,44.8659,-70,29,56.154,107.1869413,-69.50106833
HD57423,07189+2032,F07189+2032,56 GEM,HR 2795,HD 57423,M0IIIab,12.62,2.962,12.8,3.19,07 21 56.8607,+20 26 37.170,Variable star,7,21,56.8607,20,26,37.17,110.4869196,20.44365833
HD57646,07210+5159,F07210+5159,,HR 2804,HD 57646,K5III,7.515,1.849,7.43,1.99,07 24 57.0877,+51 53 14.131,Star,7,24,57.0877,51,53,14.131,111.2378654,51.88725861
HD59294,07270+1206,F07270+1206,6 CMI,HR 2864,HD 59294,K1III,9.693,2.319,9.53,2.33,07 29 47.7829,+12 00 23.631,Variable star,7,29,47.7829,12,0,23.631,112.4490954,12.00656417
HD59311,07267-0148,Z07267-0148,,HR 2865,HD 59311,K5III,6.615,1.674,6.46,1.68,07 29 18.6686,-01 54 19.184,Star,7,29,18.6686,-1,54,19.184,112.3277858,-0.094671111
HD59381,07269-1013,Z07270-1013,,HR 2867,HD 59381,K5III,7.789,1.752,7.79,1.81,07 29 22.1067,-10 19 35.989,Variable star,7,29,22.1067,-10,19,35.989,112.3421113,-9.673336389
HD59717,07276-4311,F07276-4311,SIG PUP,HR 2878,HD 59717,K5III,70.46,17.12,68.1,17.2,07 29 13.8303,-43 18 05.157,Spectroscopic binary,7,29,13.8303,-43,18,5.157,112.3076263,-42.6985675
HD60522,07328+2700,F07328+2700,UPS GEM,HR 2905,HD 60522,M0III-IIIb,36.43,8.48,35.5,8.28,07 35 55.3464,+26 53 44.667,Variable star,7,35,55.3464,26,53,44.667,113.98061,26.89574083
HD61248,07344-5225,F07344-5225,SAO 235336,HR 2934,HD 61248,K3III,9.232,2.359,9.56,2.39,07 35 39.7227,-52 32 01.810,Variable star,7,35,39.7227,-52,32,1.81,113.9155113,-51.46616389
HD61294,07368+3827,F07368+3827,,HR 2935,HD 61294,M0III,9.12,2.276,9.11,2.36,07 40 14.6925,+38 20 40.339,Variable star,7,40,14.6925,38,20,40.339,115.0612188,38.34453861
HD61338,07366+1747,F07365+1747,74 GEM,HR 2938,HD 61338,K5III,16.37,3.95,16.2,4.05,07 39 28.5925,+17 40 28.268,Variable star,7,39,28.5925,17,40,28.268,114.8691354,17.67451889
HD61603,07379+2308,F07380+2307,,HR 2951,HD 61603,K5III,6.092,1.356,5.82,1.48,07 40 58.5183,+23 01 06.696,Star,7,40,58.5183,23,1,6.696,115.2438263,23.01852667
HD61935,07388-0926,Z07388-0926,ALP MON,HR 2970,HD 61935,K0III,10.32,2.461,10.2,2.37,07 41 14.8324,-09 33 04.071,Star,7,41,14.8324,-9,33,4.071,115.3118017,-8.448869167
HD62044,07401+2900,F07402+2900,SIG GEM,HR 2973,HD 62044,K1III,11.72,2.531,12.4,2.47,07 43 18.7265,+28 53 00.635,Variable of RS CVn type,7,43,18.7265,28,53,0.635,115.8280271,28.88350972
HD62285,07410+2554,F07410+2554,76 GEM,HR 2983,HD 62285,K4.5III,10.82,2.407,10.9,2.47,07 44 06.9147,+25 47 02.972,Variable star,7,44,6.9147,25,47,2.972,116.0288113,25.78415889
HD62689,07381-7731,F07382-7731,SAO 256431,HR 3000,HD 62689,M0III,5.923,1.333,6.04,1.4,07 36 04.1977,-77 38 02.791,Star,7,36,4.1977,-77,38,2.791,114.0174904,-76.36589139
HD62721,07432+1837,F07432+1837,81 GEM,HR 3003,HD 62721,K5III,13.67,3.299,13.6,3.29,07 46 07.4473,+18 30 36.157,Star,7,46,7.4473,18,30,36.157,116.5310304,18.51004361
HD62902,07435-0638,Z07435-0638,,HR 3014,HD 62902,K5III,4.984,1.231,4.96,1.3,07 46 02.1902,-06 46 21.039,Star,7,46,2.1902,-6,46,21.039,116.5091258,-5.227489167
HD63295,07424-7229,F07424-7229,ZET VOL,HR 3024,HD 63295,K0III,10.24,2.438,11,2.46,07 41 49.2612,-72 36 21.953,Star in double system,7,41,49.2612,-72,36,21.953,115.455255,-71.39390194
HD63696,07473-1357,Z07473-1357,,,HD 63696,K5III,6.915,1.702,7.13,1.74,07 49 39.9756,-14 05 07.294,Variable star,7,49,39.9756,-14,5,7.294,117.416565,-13.91464056
HD63697,07474-1706,Z07474-1706,6 PUP,HR 3044,HD 63697,K3III,5.702,1.4,5.66,1.29,07 49 41.2013,-17 13 42.268,Star,7,49,41.2013,-17,13,42.268,117.4216721,-16.77159222
HD63744,07468-4656,F07468-4657,SAO 219018,HR 3046,HD 63744,K0III,5.415,1.291,5.38,1.3,07 48 20.1609,-47 04 39.801,Star,7,48,20.1609,-47,4,39.801,117.0840038,-46.9222775
HD64307,07542+7403,F07543+7403,,HR 3075,HD 64307,K3III,6.442,1.592,6.33,1.63,08 00 11.7384,+73 55 04.509,Star,8,0,11.7384,73,55,4.509,120.04891,73.91791917
HD65662,07554-6023,F07554-6023,SAO 250019,HR 3120,HD 65662,K3.5II-III,5.911,1.528,5.88,1.56,07 56 18.6491,-60 31 35.169,Star in cluster,7,56,18.6491,-60,31,35.169,119.0777046,-59.47356417
HD65695,07572-0332,F07572-0332,27 MON,HR 3122,HD 65695,K2III,6.179,1.503,6.28,1.5,07 59 44.1525,-03 40 46.498,Star,7,59,44.1525,-3,40,46.498,119.9339688,-2.320417222
HD66141,07596+0228,F07596+0228,,HR 3145,HD 66141,K2IIIb,12.12,2.854,12.2,2.91,08 02 15.9369,+02 20 04.454,Star in double system,8,2,15.9369,2,20,4.454,120.5664038,2.334570556
HD67582,08050-4507,Z08050-4507,SAO 219422,HR 3187,HD 67582,K3III,9.139,2.187,9.33,2.19,08 06 40.3395,-45 15 57.656,Variable star,8,6,40.3395,-45,15,57.656,121.6680813,-44.73398444
HD70272,08194+4320,F08193+4321,31 LYN,HR 3275,HD 70272,K4.5III,27.53,6.495,28.5,6.55,08 22 50.1096,+43 11 17.270,Variable star,8,22,50.1096,43,11,17.27,125.70879,43.18813056
HD70555,08194-3253,Z08194-3253,,HR 3282,HD 70555,K2.5II-III,10.32,2.514,10.1,2.52,08 21 23.0265,-33 03 15.718,Star,8,21,23.0265,-33,3,15.718,125.3459438,-32.94563389
HD71093,08234+2803,F08233+2803,PHI 1 CNC,HR 3304,HD 71093,K5III,5.207,1.368,5.22,1.31,08 26 27.7052,+27 53 36.899,Star in double system,8,26,27.7052,27,53,36.899,126.6154383,27.89358306
HD71095,08229+0215,F08229+0216,,HR 3305,HD 71095,K5III,6.077,1.59,6.04,1.55,08 25 35.5378,+02 06 07.954,Star,8,25,35.5378,2,6,7.954,126.3980742,2.102209444
HD71701,08221-7719,F08221-7719,THE CHA,HR 3340,HD 71701,K2III,8.593,2.092,8.6,2.1,08 20 38.5405,-77 29 04.118,Star in double system,8,20,38.5405,-77,29,4.118,125.1605854,-76.51552278
HD71878,08252-6558,F08251-6558,BET VOL,HR 3347,HD 71878,K1III,14.57,3.641,14.5,3.6,08 25 44.1946,-66 08 12.805,Variable star,8,25,44.1946,-66,8,12.805,126.4341442,-65.86310972
HD72094,08287+1815,F08287+1815,THE CNC,HR 3357,HD 72094,K5III,13.69,2.982,13.2,3.08,08 31 35.7301,+18 05 39.913,Star in double system,8,31,35.7301,18,5,39.913,127.8988754,18.09442028
HD73108,08358+6430,F08358+6430,PI 2 UMA,HR 3403,HD 73108,K1+IIIb,8.34,2.039,8.28,1.95,08 40 12.8186,+64 19 40.570,Star,8,40,12.8186,64,19,40.57,130.0534108,64.32793611
HD73471,08361+0331,F08361+0331,SIG HYA,HR 3418,HD 73471,K1III,8.683,2.067,8.4,2.1,08 38 45.4377,+03 20 29.167,Star,8,38,45.4377,3,20,29.167,129.6893238,3.341435278
HD73603,08364-1933,F08364-1933,,HR 3425,HD 73603,K5III,7.529,1.921,7.46,1.9,08 38 40.2927,-19 44 12.854,Star,8,38,40.2927,-19,44,12.854,129.6678863,-18.26309611
HD74442,08418+1820,F08418+1820,DEL CNC,HR 3461,HD 74442,K0IIIb,11.32,2.585,11.2,2.6,08 44 41.0996,+18 09 15.511,High proper-motion star,8,44,41.0996,18,9,15.511,131.1712483,18.15430861
HD74860,08437-1049,F08437-1049,,HR 3480,HD 74860,K5III,5.866,1.527,5.82,1.54,08 46 06.8738,-11 00 24.363,Double or multiple star,8,46,6.8738,-11,0,24.363,131.5286408,-10.9932325
HD75691,08484-2731,F08484-2731,GAM PYX,HR 3518,HD 75691,K2.5III,16.61,4.006,16.3,4,08 50 31.9233,-27 42 35.440,Star,8,50,31.9233,-27,42,35.44,132.6330138,-26.29015556
HD76110,08508-3832,Z08508-3832,SAO 199737,HR 3535,HD 76110,M0III,9.191,2.361,9.17,2.34,08 52 48.0183,-38 43 26.711,Star,8,52,48.0183,-38,43,26.711,133.2000763,-37.27591361
HD76351,08531+1149,F08531+1149,60 CNC,HR 3550,HD 76351,K5III,6.051,1.267,6.38,1.26,08 55 55.5481,+11 37 33.684,Variable star,8,55,55.5481,11,37,33.684,133.9814504,11.62602333
HD77800,09040+6704,F09040+6704,SIG 1 UMA,HR 3609,HD 77800,K5III,10.76,2.63,11.3,2.65,09 08 23.4990,+66 52 23.645,Star,9,8,23.499,66,52,23.645,137.0979125,66.87323472
HD77996,09033+0517,F09033+0517,OME HYA,HR 3613,HD 77996,K2II-III,5.791,1.432,5.95,1.41,09 05 58.3667,+05 05 32.337,Star,9,5,58.3667,5,5,32.337,136.4931946,5.092315833
HD79354,09121+5657,F09121+5656,17 UMA,HR 3660,HD 79354,K5III,11.81,2.787,11.5,2.77,09 15 49.7821,+56 44 29.064,Variable star,9,15,49.7821,56,44,29.064,138.9574254,56.74140667
HD79554,09124+1509,F09124+1509,PI 2 CNC,HR 3669,HD 79554,K1III,5.509,1.229,5.49,1.27,09 15 13.8528,+14 56 29.424,Star,9,15,13.8528,14,56,29.424,138.80772,14.94150667
HD80493,09180+3436,F09180+3436,ALP LYN,HR 3705,HD 80493,K7IIIab,83.78,19.64,86.9,19.6,09 21 03.3012,+34 23 33.223,Variable star,9,21,3.3012,34,23,33.223,140.263755,34.39256194
HD81146,09217+2623,F09217+2623,KAP LEO,HR 3731,HD 81146,K2III,9.814,2.317,9.83,2.36,09 24 39.2591,+26 10 56.367,Double or multiple star,9,24,39.2591,26,10,56.367,141.1635796,26.18232417
HD81420,09228-0454,F09229-0454,28 HYA,HR 3738,HD 81420,K5III,6.75,1.757,7.41,1.74,09 25 24.0355,-05 07 02.617,Star,9,25,24.0355,-5,7,2.617,141.3501479,-4.882606389
HD81799,09250-2207,F09250-2207,,HR 3749,HD 81799,K2.5III,6.372,1.442,6.21,1.4,09 27 18.4056,-22 20 37.617,High proper-motion star,9,27,18.4056,-22,20,37.617,141.82669,-21.6562175
HD81817,09301+8132,F09300+8133,SAO 1551,HR 3751,HD 81817,K3IIIa,17.64,4.357,18.4,4.35,09 37 05.2871,+81 19 34.975,Star,9,37,5.2871,81,19,34.975,144.2720296,81.32638194
HD82308,09288+2311,F09288+2311,LAM LEO,HR 3773,HD 82308,K4.5IIIb,29.06,6.406,29.1,6.44,09 31 43.2281,+22 58 04.694,Variable star,9,31,43.2281,22,58,4.694,142.9301171,22.96797056
HD82381,09292+0956,F09292+0956,6 LEO,HR 3779,HD 82381,K2.5IIIb,8.584,1.838,8.65,1.92,09 31 57.5773,+09 42 56.760,Star in double system,9,31,57.5773,9,42,56.76,142.9899054,9.715766667
HD82660,09305-1317,F09305-1317,,HR 3802,HD 82660,K5III,4.843,1.213,4.96,1.26,09 32 55.7742,-13 31 00.493,Star,9,32,55.7742,-13,31,0.493,143.2323925,-12.48319639
HD82668,09297-5648,Z09296-5648,SAO 237067,HR 3803,HD 82668,K5III,72.75,18.41,73.1,19.2,09 31 13.3189,-57 02 03.757,Variable star,9,31,13.3189,-57,2,3.757,142.8054954,-56.96562306
HD83126,09353+6729,F09353+6729,,HR 3824,HD 83126,M0III,5.795,1.426,5.87,1.5,09 39 27.8747,+67 16 20.029,Star,9,39,27.8747,67,16,20.029,144.8661446,67.27223028
HD83425,09358+0452,F09358+0452,,HR 3834,HD 83425,K3III,11.08,2.508,10.9,2.63,09 38 27.2883,+04 38 57.454,Star,9,38,27.2883,4,38,57.454,144.6137013,4.649292778
HD83618,09372-0054,F09373-0055,IOTA HYA,HR 3845,HD 83618,K2.5III,20.55,4.625,19.7,4.6,09 39 51.3619,-01 08 34.117,Variable star,9,39,51.3619,-1,8,34.117,144.9640079,-0.857189722
HD83787,09386+3130,F09386+3130,,HR 3850,HD 83787,K6III,8.166,2.318,7.93,2.2,09 41 35.1160,+31 16.40.142 2000.0,variable star,9,41,35.116,31,16,40.1422,145.3963167,31.27781728
HD85503,09499+2614,F09499+2614,MUU LEO,HR 3905,HD 85503,K2III,14.53,3.395,14.6,3.5,09 52 45.8173,+26 00 25.025,High proper-motion star,9,52,45.8173,26,0,25.025,148.1909054,26.00695139
HD86378,09564+5703,F09564+5703,,HR 3939,HD 86378,K5III,7.074,1.773,6.91,1.76,09 59 51.6863,+56 48 42.507,Star,9,59,51.6863,56,48,42.507,149.9653596,56.8118075
HD87837,10052+1014,F10052+1014,31 LEO,HR 3980,HD 87837,K3.5IIIb,17.81,4.185,17.6,4.16,10 07 54.2708,+09 59 51.028,Star in double system,10,7,54.2708,9,59,51.028,151.9761283,9.997507778
HD89388,10154-6104,Z10153-6105,SAO 250905,HR 4050,HD 89388,K2.5II,46.39,10.92,48,11.1,10 17 04.9758,-61 19 56.295,Variable star,10,17,4.9758,-61,19,56.295,154.2707325,-60.66769583
HD89682,10177-5446,Z10177-5446,SAO 237916,HR 4063,HD 89682,K3II,17.41,4.075,17,4.05,10 19 36.7501,-55 01 45.497,Variable star,10,19,36.7501,-55,1,45.497,154.9031254,-54.97069528
HD89998,10201-4123,F10201-4123,SAO 221998,HR 4080,HD 89998,K1III,4.723,1.199,5.04,1.26,10 22 19.5847,-41 38 59.857,Variable star,10,22,19.5847,-41,38,59.857,155.5816029,-40.35003972
HD90957,10271-2924,F10271-2924,,HR 4117,HD 90957,K3III,5.131,1.268,5.23,1.32,10 29 28.9733,-29 39 49.797,Star,10,29,28.9733,-29,39,49.797,157.3707221,-28.3361675
HD91056,10272-6354,Z10272-6354,SAO 250979,HR 4120,HD 91056,M0III,27.07,6.978,27.2,7.2,10 28 52.5757,-64 10 20.200,Star,10,28,52.5757,-64,10,20.2,157.2190654,-63.82772222
HD92305,10348-7820,F10348-7820,GAM CHA,HR 4174,HD 92305,K5III,35.61,8.725,35.5,8.77,10 35 28.1062,-78 36 28.029,Variable star,10,35,28.1062,-78,36,28.029,158.8671092,-77.39221417
HD92523,10395+6920,F10395+6920,,HR 4181,HD 92523,K3III,10.1,2.332,9.94,2.28,10 43 04.0399,+69 04 34.370,Star,10,43,4.0399,69,4,34.37,160.7668329,69.07621389
HD92682,10380-7413,F10380-7413,SAO 256742,HR 4186,HD 92682,K3II,7.07,1.832,7.55,1.88,10 39 15.8975,-74 29 36.182,Star,10,39,15.8975,-74,29,36.182,159.8162396,-73.50661611
HD93813,10471-1555,F10471-1555,NUU HYA,HR 4232,HD 93813,K1.5IIIb,35.84,8.16,35.1,8.25,10 49 37.4884,-16 11 37.134,High proper-motion star,10,49,37.4884,-16,11,37.134,162.4062017,-15.80635167
HD94247,10505+5451,F10505+5450,44 UMA,HR 4246,HD 94247,K3III,7.336,1.698,7.56,1.8,10 53 34.4515,+54 35 06.462,Star,10,53,34.4515,54,35,6.462,163.3935479,54.58512833
HD94264,10505+3428,F10505+3428,46 LMI,HR 4247,HD 94264,K0+III-IV,12.88,3.006,12.6,2.93,10 53 18.7051,+34 12 53.536,Variable star,10,53,18.7051,34,12,53.536,163.3279379,34.21487111
HD94336,10508+2628,F10508+2628,,,HD 94336,M0III,5.236,1.28,5.32,1.34,10 53 34.8453,+26 12 27.965,Star,10,53,34.8453,26,12,27.965,163.3951888,26.20776806
HD95212,10573+4547,F10573+4547,,HR 4280,HD 95212,K5III,7.109,1.639,7.05,1.7,11 00 14.7043,+45 31 34.595,Star,11,0,14.7043,45,31,34.595,165.0612679,45.52627639
HD95272,10573-1801,F10573-1801,ALP CRT,HR 4287,HD 95272,K0+III,11.21,2.454,11.8,2.42,10 59 46.4647,-18 17 55.620,High proper-motion star,10,59,46.4647,-18,17,55.62,164.9436029,-17.70121667
HD95314,10577-1348,F10576-1348,,HR 4289,HD 95314,K5III,5.693,1.414,5.53,1.42,11 00 11.6936,-14 05 00.126,Star,11,0,11.6936,-14,5,0.126,165.0487233,-13.91663167
HD95578,10592-0212,F10592-0213,61 LEO,HR 4299,HD 95578,M0III,22.49,5.386,21.9,5.22,11 01 49.6745,-02 29 04.505,Variable star,11,1,49.6745,-2,29,4.505,165.4569771,-1.515415278
HD96833,11068+4446,F11068+4446,PSI UMA,HR 4335,HD 96833,K1III,30.35,7.266,31,7.41,11 09 39.8084,+44 29 54.553,Star,11,9,39.8084,44,29,54.553,167.4158683,44.49848694
HD97576,11109-4405,F11109-4406,SAO 222647,HR 4354,HD 97576,K7III,10.32,2.317,10.1,2.31,11 13 14.6854,-44 22 19.978,Star,11,13,14.6854,-44,22,19.978,168.3111892,-43.62778389
HD98118,11147+0217,F11147+0217,75 LEO,HR 4371,HD 98118,M0III,12.89,3.191,12.8,3.26,11 17 17.4003,+02 00 38.001,Star,11,17,17.4003,2,0,38.001,169.3225013,2.010555833
HD98262,11157+3322,F11157+3322,NU UMA,HR 4377,HD 98262,K3-III,35.22,8.297,35.7,8.25,11 18 28.7368,+33 05 39.500,Star in double system,11,18,28.7368,33,5,39.5,169.6197367,33.09430556
HD99167,11220-1035,F11221-1035,EPS CRT,HR 4402,HD 99167,K5III,19.07,4.635,18.3,4.46,11 24 36.5911,-10 51 33.564,Star,11,24,36.5911,-10,51,33.564,171.1524629,-9.140676667
HD99998,11277-0243,F11277-0243,87 LEO,HR 4432,HD 99998,K3.5III,15.22,3.848,15.2,3.81,11 30 18.8934,-03 00 12.602,Star,11,30,18.8934,-3,0,12.602,172.5787225,-2.996499444
HD100029,11284+6936,F11284+6936,LAM DRA,HR 4434,HD 100029,M0III,54.7,13.84,54.3,13.9,11 31 24.2205,+69 19 51.873,Semi-regular pulsating star,11,31,24.2205,69,19,51.873,172.8509188,69.33107583
HD101666,11392-3213,F11392-3213,,HR 4503,HD 101666,K5III,9.133,2.271,9.12,2.16,11 41 43.9485,-32 29 57.853,Star in double system,11,41,43.9485,-32,29,57.853,175.4331188,-31.50059639
HD102224,11434+4803,F11434+4803,CHI UMA,HR 4518,HD 102224,K2III,18.81,4.615,19.3,4.72,11 46 03.0140,+47 46 45.861,Variable star,11,46,3.014,47,46,45.861,176.5125583,47.77940583
HD102461,11448-5724,Z11448-5725,SAO 239373,HR 4526,HD 102461,K5III,13.66,3.378,13.6,3.33,11 47 19.1412,-57 41 47.395,Variable star,11,47,19.1412,-57,41,47.395,176.829755,-56.30350139
HD102964,11486-4453,F11486-4453,B CEN,HR 4546,HD 102964,K3III,10.94,2.6,10.9,2.58,11 51 08.6917,-45 10 24.494,Star,11,51,8.6917,-45,10,24.494,177.7862154,-44.82652944
HD105340,12051-7505,F12051-7505,SAO 256905,HR 4617,HD 105340,K2II-III,5.857,1.477,5.93,1.57,12 07 49.8750,-75 22 01.268,Star,12,7,49.875,-75,22,1.268,181.9578125,-74.63298111
HD105943,12087+8159,F12087+8159,SAO 1991,HR 4639,HD 105943,K5III,5.329,1.335,5.37,1.28,12 10 59.9853,+81 42 35.397,Star in double system,12,10,59.9853,81,42,35.397,182.7499388,81.7098325
HD106321,12114-4526,F12114-4526,SAO 223297,HR 4652,HD 106321,K3III,7.925,1.877,7.74,1.9,12 14 02.6975,-45 43 26.110,Double or multiple star,12,14,2.6975,-45,43,26.11,183.5112396,-44.27608056
HD107274,12173+4915,F12173+4915,3 CVN,HR 4690,HD 107274,M0III,16.53,3.901,17.4,3.85,12 19 48.7103,+48 59 02.935,Star,12,19,48.7103,48,59,2.935,184.9529596,48.98414861
HD107328,12177+0335,F12177+0335,16 VIR,HR 4695,HD 107328,K0.5IIIb,6.212,1.392,5.99,1.41,12 20 20.9809,+03 18 45.267,Variable star,12,20,20.9809,3,18,45.267,185.0874204,3.312574167
HD108381,12244+2832,F12244+2832,GAM COM,HR 4737,HD 108381,K1III,7.907,1.906,8.55,1.88,12 26 56.2723,+28 16 06.322,Star in cluster,12,26,56.2723,28,16,6.322,186.7344679,28.26842278
HD108985,12288+0752,F12287+0752,,HR 4770,HD 108985,K5III,4.743,1.214,4.67,1.28,12 31 21.4158,+07 36 15.513,Star,12,31,21.4158,7,36,15.513,187.8392325,7.604309167
HD109511,12326+1839,F12325+1839,24 COM,HR 4792,HD 109511,K2III,4.704,1.087,4.64,1.37,12 35 07.7597,+18 22 37.408,Variable star,12,35,7.7597,18,22,37.408,188.7823321,18.37705778
HD109551,12326+7017,F12326+7017,6 DRA,HR 4795,HD 109551,K2.5III,10.22,2.471,10.6,2.51,12 34 44.0133,+70 01 18.371,Star,12,34,44.0133,70,1,18.371,188.6833888,70.02176972
HD110014,12366-0743,F12366-0743,CHI VIR,HR 4813,HD 110014,K2III,7.256,1.903,7.36,1.93,12 39 14.7669,-07 59 44.032,Star in double system,12,39,14.7669,-7,59,44.032,189.8115288,-6.004435556
HD110458,12397-4832,F12398-4832,SAO 223614,HR 4831,HD 110458,K0III,5.799,1.315,5.83,1.31,12 42 35.4519,-48 48 47.191,Star,12,42,35.4519,-48,48,47.191,190.6477163,-47.18689139
HD111067,12441+1650,F12441+1651,27 COM,HR 4851,HD 111067,K3III,6.694,1.675,6.71,1.67,12 46 38.7609,+16 34 39.689,Star,12,46,38.7609,16,34,39.689,191.6615038,16.57769139
