Cohen,IRAS PSC,IRAS FSC,Name,HR #,HD #,SpectralTypes,12[Jy],25[Jy],12[Jy],25[Jy],R.A.,Decl.,CommentOnSIMBAD,R.A.(h),R.A.(m),R.A.(s),Decl.(deg),Decl.(m),Decl.(s),ra,dec
HD7318,01110+2419,F01110+2419,PHI PSC,HR 360,HD 7318,K0III,5.935,1.153,6.1,1.25,01 13 44.9471,+24 35 01.367,Star in double system,1,13,44.9471,24,35,1.367,18.43727958,24.58371306
HD7647,01141+4438,F01141+4438,,HR 372,HD 7647,K5III,6.508,1.545,6.44,1.62,01 17 05.0638,+44 54 07.172,Star,1,17,5.0638,44,54,7.172,19.27109917,44.90199222
HD8388,01207+2012,F01207+2012,,HR 397,HD 8388,K7III,9.71,2.458,9.56,2.35,01 23 24.9490,+20 28 08.282,Star,1,23,24.949,20,28,8.282,20.85395417,20.46896722
HD8498,01211-3112,F01211-3112,,HR 400,HD 8498,M0III,9.219,2.333,9.43,2.26,01 23 30.9575,-30 56 44.223,Star,1,23,30.9575,-30,56,44.223,20.87898958,-29.0543825
HD8512,01215-0826,F01215-0826,THE CET,HR 402,HD 8512,K0IIIb,15.55,3.905,15.4,3.85,01 24 01.4050,-08 10 59.724,High proper-motion star,1,24,1.405,-8,10,59.724,21.00585417,-7.816743333
HD8705,01231-1451,F01231-1451,46 CET,HR 412,HD 8705,K2.5IIIb,6.93,1.59,6.63,1.68,01 25 37.2349,-14 35 55.667,Star,1,25,37.2349,-14,35,55.667,21.40514542,-13.40120361
HD8810,01233-6437,F01233-6437,SAO 248381,HR 420,HD 8810,K5III,7.21,1.539,7.25,1.59,01 25 05.3067,-54 22 10.120,Star,1,25,5.3067,-54,22,10.12,21.27211125,-53.63052222
HD9138,01275+0553,F01275+0553,MUU PSC,HR 434,HD 9138,K3III,10.8,2.579,11,2.59,01 30 11.1151,+06 08 37.754,High proper-motion star,1,30,11.1151,6,8,37.754,22.54631292,6.143820556
HD9362,01291-4919,F01291-4920,DEL PHE,HR 440,HD 9362,K0IIIb,9.13,2.261,9.54,2.25,01 31 15.1046,-49 04 21.728,High proper-motion star,1,31,15.1046,-49,4,21.728,22.81293583,-48.92729778
HD9692,01320-2829,F01320-2829,,,HD 9692,M0III,4.979,1.205,5.02,1.25,01 34 23.4099,-28 14 12.026,Variable star,1,34,23.4099,-28,14,12.026,23.59754125,-27.76332611
HD9927,01349+4822,F01349+4822,51 AND,HR 464,HD 9927,K3-III,23.19,5.216,22,5.27,01 37 59.5561,+48 37 41.567,Star,1,37,59.5561,48,37,41.567,24.49815042,48.62821306
HD10110,01370+5336,Z01370+5336,,HR 470,HD 10110,K5III,5.198,1.365,5.13,1.43,01 40 13.1011,+53 52 05.800,Star,1,40,13.1011,53,52,5.8,25.05458792,53.86827778
HD10380,01388+0514,F01388+0514,NUU PSC,HR 489,HD 10380,K3IIIb,13.93,3.389,14.1,3.43,01 41 25.8943,+05 29 15.409,Star,1,41,25.8943,5,29,15.409,25.35789292,5.487613611
HD10550,01401-0356,F01401-0356,,HR 500,HD 10550,K3II-III,7.251,1.673,7.54,1.65,01 42 43.5101,-03 41 24.722,Variable star,1,42,43.5101,-3,41,24.722,25.68129208,-2.309799444
HD11353,01489-1034,F01489-1035,ZET CET,HR 539,HD 11353,K0III,14.87,3.388,14.6,3.33,01 51 27.6336,-10 20 06.136,Spectroscopic binary,1,51,27.6336,-10,20,6.136,27.86514,-9.664962222
HD12524,01596-4457,F01597-4457,CHI 1 PHE,HR 602,HD 12524,K5III,12.62,2.952,12.6,2.92,02 01 42.3763,-44 42 48.532,Star,2,1,42.3763,-44,42,48.532,30.42656792,-43.28651889
HD12929,02043+2313,F02043+2313,ALP ARI,HR 617,HD 12929,K2-IIIab,84.76,20.01,77.8,20.3,02 07 10.4071,+23 27 44.723,Variable star,2,7,10.4071,23,27,44.723,31.79336292,23.46242306
HD13520,02100+4359,F02100+4359,60 AND,HR 643,HD 13520,K3.5III,13.61,3.585,13.5,3.48,02 13 13.3241,+44 13 53.947,Variable star,2,13,13.3241,44,13,53.947,33.30551708,44.23165194
HD13596,02103+1502,F02103+1502,19 ARI,HR 648,HD 13596,M0III,9.036,2.072,9.07,2.05,02 13 03.3053,+15 16 47.494,Variable star,2,13,3.3053,15,16,47.494,33.26377208,15.27985944
HD14146,02150+2846,F02150+2846,,,HD 14146,M0III,5.903,1.473,5.98,1.54,02 17 57.3307,+29 00 26.108,Semi-regular pulsating star,2,17,57.3307,29,0,26.108,34.48887792,29.00725222
HD14641,02182-5610,F02182-5610,SAO 232717,HR 688,HD 14641,K5III,7.443,1.848,7.7,1.89,02 19 54.2710,-55 56 41.266,Star in double system,2,19,54.271,-55,56,41.266,34.97612917,-54.05520389
HD14872,02222+5003,Z02222+5003,65 AND,HR 699,HD 14872,K4.5III,16.03,3.8,16.1,3.92,02 25 37.4227,+50 16 43.072,Star in double system,2,25,37.4227,50,16,43.072,36.40592792,50.27863111
HD14890,02210-3748,F02210-3748,SAO 193679,HR 700,HD 14890,K2III,5.911,1.565,5.74,1.45,02 23 06.5975,-37 34 34.120,Star,2,23,6.5975,-37,34,34.12,35.77748958,-36.42385556
