angDist,AllWISE,RAJ2000,DEJ2000,eeMaj,eeMin,eePA,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,ID,ccf,ex,var,qph,pmRA,e_pmRA,pmDE,e_pmDE,d2M,angDist,_RAJ2000,_DEJ2000,objName,S09,e_S09,q_S09,S18,e_S18,q_S18,Nd09,Nd18,X09,X18,RAJ2000,DEJ2000,Cohen,IRAS PSC,IRAS FSC,Name,HR #,HD #,SpectralTypes,12[Jy],25[Jy],12[Jy],25[Jy],R.A.,Decl.,CommentOnSIMBAD,R.A.(h),R.A.(m),R.A.(s),Decl.(deg),Decl.(m),Decl.(s),ra,dec
0.681266,J084441.10+180913.2,131.1712680,+18.1536910,0.0458,0.0259,126.0,-0.925,-0.208,1.471,1.450,2.209,1.685,1.567,,,0.026,0.018,0.294,0.178,0.204,1316118101351031606,hh00,0,nn20,UUAA,1127,54,603,57,2.557,1.6784,131.17116,18.15385,0844410+180913,15.52,0.1,3,3.388,0.0525,3,0,0,0,0,131.17116,18.15385,HD74442,08418+1820,F08418+1820,DEL CNC,HR 3461,HD 74442,K0IIIb,11.32,2.585,11.2,2.6,08 44 41.0996,+18 09 15.511,High proper-motion star,8,44,41.0996,18,9,15.511,131.1712483,18.15430861
0.839943,J014125.88+052915.5,25.3578414,+5.4876498,0.0148,0.0141,168.2,-1.235,-0.381,1.226,1.144,2.195,1.495,1.357,,,0.014,0.014,0.308,0.260,0.308,258106001351006982,hh00,0,nn10,UUAA,25,23,52,24,0.156,0.668085,25.35792,5.48743,0141259+052914,19.9,0.0442,3,4.239,0.061,3,0,0,0,0,25.35792,5.48743,HD10380,01388+0514,F01388+0514,NUU PSC,HR 489,HD 10380,K3IIIb,13.93,3.389,14.1,3.43,01 41 25.8943,+05 29 15.409,Star,1,41,25.8943,5,29,15.409,25.35789292,5.487613611
0.532067,J023206.24+360850.3,38.0260124,+36.1473325,0.0231,0.0180,117.4,-0.717,-0.076,1.632,1.494,2.613,1.889,1.630,,,0.015,0.017,0.274,0.234,0.264,373136301351023181,hh00,0,nn40,UUAA,1114,30,374,28,0.981,0.620849,38.02591,36.14721,0232062+360849,13.78,0.0202,3,3.093,0.0394,3,0,0,0,0,38.02591,36.14721,HD15656,02290+3555,F02290+3555,14 TRI,HR 736,HD 15656,K5III,9.944,2.564,10.4,2.49,02 32 06.1705,+36 08 50.177,Star,2,32,6.1705,36,8,50.177,38.02571042,36.14727139
0.471324,J095951.72+564842.2,149.9655226,+56.8117322,0.0278,0.0198,3.4,0.495,0.230,2.011,1.857,2.992,2.235,1.965,,,0.017,0.015,0.238,0.202,0.212,1495157501351002577,hh00,1,nn40,UUAA,2340,40,62,36,0.481,0.153607,149.9653,56.81178,0959516+564842,9.64,0.0105,3,2.131,0.0444,3,0,0,0,0,149.9653,56.81178,HD86378,09564+5703,F09564+5703,,HR 3939,HD 86378,K5III,7.074,1.773,6.91,1.76,09 59 51.6863,+56 48 42.507,Star,9,59,51.6863,56,48,42.507,149.9653596,56.8118075
0.404520,J040603.19+684047.8,61.5133032,+68.6799669,0.0473,0.0420,172.7,-0.229,0.435,2.122,1.946,3.149,2.388,2.059,,,0.031,0.020,0.270,0.204,0.314,632168101351058668,HH00,0,nn00,UUAA,-420,51,406,53,0.227,0.357244,61.51313,68.68006,0406031+684048,8.829,0.0449,3,,,0,0,,0,,61.51313,68.68006,HD25274,04009+6832,F04009+6832,,HR 1241,HD 25274,K2III,6.643,1.666,6.63,1.68,04 06 03.1821,+68 40 47.901,Star,4,6,3.1821,68,40,47.901,61.51325875,68.6799725
0.716785,J032020.40+290254.5,50.0850002,+29.0484996,0.0565,0.0488,74.9,-1.670,-1.153,0.791,0.711,1.673,0.821,0.877,,,0.061,0.015,0.266,0.192,0.172,497128701351038947,hh00,0,nn10,UUAA,1996,69,830,56,0.245,0.259914,50.08481,29.04839,0320203+290254,29.45,0.0479,3,6.418,0.0794,3,0,0,0,0,50.08481,29.04839,HD20644,03173+2852,F03172+2852,,HR 999,HD 20644,K3IIIa,21.39,5.003,21.2,4.96,03 20 20.3608,+29 02 54.450,Star,3,20,20.3608,29,2,54.45,50.08483667,29.04845833
0.038617,J082250.08+431116.2,125.7086854,+43.1878487,0.0919,0.0825,167.1,-1.891,-1.052,0.535,0.467,1.263,0.453,0.375,,,0.107,0.021,0.298,0.166,0.178,1248143901351000001,hh00,0,nn00,UUAA,-701,91,62,74,1.082,1.037274,125.7087,43.18785,0822500+431116,37.19,0.137,3,8.128,0.057,3,0,0,0,0,125.7087,43.18785,HD70272,08194+4320,F08193+4321,31 LYN,HR 3275,HD 70272,K4.5III,27.53,6.495,28.5,6.55,08 22 50.1096,+43 11 17.270,Variable star,8,22,50.1096,43,11,17.27,125.70879,43.18813056
0.159338,J064304.95+443128.0,100.7706608,+44.5244609,0.0840,0.0758,28.3,-0.778,-0.524,1.625,1.413,2.701,1.984,1.709,,,0.071,0.021,0.298,0.212,0.226,998143901351049336,hh00,0,nnn0,UUAA,1170,97,1160,82,0.312,0.302819,100.7706,44.52447,0643049+443128,15.29,0.0364,3,3.49,0.0629,3,0,0,0,0,100.7706,44.52447,HD47914,06394+4434,F06394+4434,PSI 4 AUR,HR 2459,HD 47914,K5III,10.48,2.572,11.1,2.71,06 43 04.9715,+44 31 28.020,Star,6,43,4.9715,44,31,28.02,100.7707146,44.52445
0.669842,J005500.14+585821.1,13.7505918,+58.9725522,0.0125,0.0082,22.0,-0.004,0.512,2.078,1.959,2.521,1.946,1.763,,,0.006,0.014,0.182,0.158,0.200,144159001351033520,hhp0,0,nn30,UUAA,185,23,83,23,0.432,0.521847,13.75091,58.97264,0055002+585821,9.039,0.0745,3,2.011,0.0308,3,0,0,0,0,13.75091,58.97264,HD5234,00520+5842,Z00520+5842,UPS 1 CAS,HR 253,HD 5234,K2III,6.461,1.545,6.88,1.57,00 55 00.1565,+58 58 21.712,Star in double system,0,55,0.1565,58,58,21.712,13.75065208,58.97269778
0.674074,J093705.25+811934.8,144.2718978,+81.3263453,0.0311,0.0178,49.5,-1.690,-0.846,1.014,0.898,1.698,0.890,0.779,,,0.028,0.017,0.248,0.186,0.232,1459181701351015195,hh00,0,nn10,UUAA,191,33,429,28,0.186,0.74774,144.27066,81.32636,0937049+811934,24.23,0.1,3,5.356,0.03,3,0,0,0,0,144.27066,81.32636,HD81817,09301+8132,F09300+8133,SAO 1551,HR 3751,HD 81817,K3IIIa,17.64,4.357,18.4,4.35,09 37 05.2871,+81 19 34.975,Star,9,37,5.2871,81,19,34.975,144.2720296,81.32638194
0.687210,J055102.47+371819.6,87.7603142,+37.3054599,0.0469,0.0144,78.6,-2.191,-1.436,0.486,0.455,1.748,0.865,0.677,,,0.014,0.009,0.278,0.170,0.190,871137801351000001,HHHH,0,nnnn,UUAA,306,70,-145,35,0.543,1.156686,87.76029,37.30527,0551024+371818,36.76,0.194,3,8.128,0.0447,3,0,0,0,0,87.76029,37.30527,HD38944,05476+3717,Z05476+3717,UPS AUR,HR 2011,HD 38944,M0III,26.56,6.493,26.7,6.79,05 51 02.4374,+37 18 20.063,Variable star,5,51,2.4374,37,18,20.063,87.76015583,37.30557306
0.447225,J064359.29+131340.4,100.9970484,+13.2278985,0.0405,0.0232,116.1,-0.729,-0.279,1.805,1.709,2.601,2.013,1.861,,,0.022,0.016,0.274,0.184,0.242,1008113601351018038,hh00,0,nn10,UUAA,654,45,93,40,0.668,0.867125,100.99701,13.22778,0643592+131340,11.63,0.0654,3,2.561,0.0214,3,0,0,0,0,100.99701,13.22778,HD48433,06411+1316,Z06411+1316,30 GEM,HR 2478,HD 48433,K0.5III,8.245,1.959,8.48,1.99,06 43 59.2927,+13 13 40.862,Star in double system,6,43,59.2927,13,13,40.862,100.9970529,13.22801722
0.479827,J005644.55+262023.8,14.1856416,+26.3399486,0.0198,0.0138,90.5,-0.108,0.338,1.870,1.696,3.295,2.368,2.088,,,0.011,0.014,0.252,0.190,0.248,150125701351062374,HHHH,0,nnnn,UUAA,20,40,-115,40,0.793,0.438562,14.18556,26.34006,0056445+262024,10.95,0.0741,3,2.622,0.047,3,0,0,0,0,14.18556,26.34006,HD5462,00540+2604,F00540+2604,,,HD 5462,M0III,8.196,2.127,8.26,2.15,00 56 44.5058,+26 20 24.005,Semi-regular pulsating star,0,56,44.5058,26,20,24.005,14.18544083,26.34000139
0.700656,J121059.85+814235.2,182.7493894,+81.7097928,0.0305,0.0211,17.7,0.933,0.951,2.283,2.182,3.430,2.709,2.396,,,0.016,0.019,0.214,0.206,0.256,1848181701351032792,hh00,0,nn30,UUAA,104,33,-486,34,0.180,0.915875,182.74822,81.70989,1210595+814235,7.124,0.0162,3,1.687,0.0166,3,0,0,0,0,182.74822,81.70989,HD105943,12087+8159,F12087+8159,SAO 1991,HR 4639,HD 105943,K5III,5.329,1.335,5.37,1.28,12 10 59.9853,+81 42 35.397,Star in double system,12,10,59.9853,81,42,35.397,182.7499388,81.7098325
0.613584,J055129.39+390854.6,87.8724879,+39.1485199,0.0186,0.0152,62.4,-1.184,-0.430,1.415,1.403,2.179,1.666,1.522,,,0.014,0.013,0.332,0.194,0.204,870139301351023426,hh00,0,nn10,UUAA,1212,40,-541,32,0.188,0.47452,87.87247,39.14835,0551293+390854,16.14,0.0333,3,3.512,0.058,3,0,0,0,0,87.87247,39.14835,HD39003,05480+3908,Z05480+3908,NUU AUR,HR 2012,HD 39003,K0III,11.88,2.548,11.7,2.63,05 51 29.3990,+39 08 54.529,Star in double system,5,51,29.399,39,8,54.529,87.87249583,39.14848028
0.393343,J041059.01+333512.4,62.7458868,+33.5867969,0.0307,0.0223,136.0,1.246,0.850,2.387,2.280,3.294,2.637,2.447,,,0.013,0.020,0.216,0.186,0.254,629133301351038554,hh00,0,nn10,UUAA,-173,43,666,42,0.098,0.315471,62.74598,33.58672,0410590+333512,6.937,0.0418,3,1.55,0.0174,3,0,0,0,0,62.74598,33.58672,HD26311,04077+3327,F04077+3327,,HR 1286,HD 26311,K1II-III,5.081,1.287,5.0,1.31,04 10 59.0209,+33 35 12.452,Star,4,10,59.0209,33,35,12.452,62.74592042,33.58679222
0.676886,J073555.33+265343.6,113.9805604,+26.8954620,0.0521,0.0376,11.1,-1.900,-1.304,0.287,0.187,1.031,0.282,0.232,,,0.055,0.010,0.240,0.194,0.208,1132127201351021278,hh00,0,nn00,UUAA,164,73,18,63,1.274,0.364268,113.98056,26.89565,0735553+265344,49.48,0.564,3,13.97,3.1,3,0,0,0,0,113.98056,26.89565,HD60522,07328+2700,F07328+2700,UPS GEM,HR 2905,HD 60522,M0III-IIIb,36.43,8.48,35.5,8.28,07 35 55.3464,+26 53 44.667,Variable star,7,35,55.3464,26,53,44.667,113.98061,26.89574083
0.764854,J093827.17+043857.1,144.6132474,+4.6491960,0.0464,0.0235,25.9,-1.126,-0.172,1.605,1.429,2.391,1.698,1.582,,,0.038,0.018,0.262,0.256,0.274,1443104501351028214,hh00,0,nn00,UUAA,330,38,875,41,1.643,1.075391,144.61345,4.64913,0938272+043856,15.45,0.0489,3,3.47,0.0723,3,0,0,0,0,144.61345,4.64913,HD83425,09358+0452,F09358+0452,,HR 3834,HD 83425,K3III,11.08,2.508,10.9,2.63,09 38 27.2883,+04 38 57.454,Star,9,38,27.2883,4,38,57.454,144.6137013,4.649292778
