angDist,_RAJ2000,_DEJ2000,objName,S09,e_S09,q_S09,S18,e_S18,q_S18,Nd09,Nd18,X09,X18,RAJ2000,DEJ2000,Cohen,IRAS PSC,IRAS FSC,Name,HR #,HD #,SpectralTypes,12[Jy],25[Jy],12[Jy],25[Jy],R.A.,Decl.,CommentOnSIMBAD,R.A.(h),R.A.(m),R.A.(s),Decl.(deg),Decl.(m),Decl.(s),ra,dec
0.302819,100.7706,44.52447,0643049+443128,15.29,0.0364,3,3.49,0.0629,3,0,0,0,0,100.7706,44.52447,HD47914,06394+4434,F06394+4434,PSI 4 AUR,HR 2459,HD 47914,K5III,10.48,2.572,11.1,2.71,06 43 04.9715,+44 31 28.020,Star,6,43,4.9715,44,31,28.02,100.7707146,44.52445
0.521847,13.75091,58.97264,0055002+585821,9.039,0.0745,3,2.011,0.0308,3,0,0,0,0,13.75091,58.97264,HD5234,00520+5842,Z00520+5842,UPS 1 CAS,HR 253,HD 5234,K2III,6.461,1.545,6.88,1.57,00 55 00.1565,+58 58 21.712,Star in double system,0,55,0.1565,58,58,21.712,13.75065208,58.97269778
0.240345,50.68845,20.74211,0322452+204431,7.537,0.0275,3,1.68,0.0441,3,0,0,0,0,50.68845,20.74211,HD20893,03198+2033,F03198+2033,TAU 2 ARI,HR 1015,HD 20893,K3III,5.72,1.304,5.58,1.29,03 22 45.2415,+20 44 31.448,Star,3,22,45.2415,20,44,31.448,50.68850625,20.74206889
0.747740,144.27066,81.32636,0937049+811934,24.23,0.1,3,5.356,0.03,3,0,0,0,0,144.27066,81.32636,HD81817,09301+8132,F09300+8133,SAO 1551,HR 3751,HD 81817,K3IIIa,17.64,4.357,18.4,4.35,09 37 05.2871,+81 19 34.975,Star,9,37,5.2871,81,19,34.975,144.2720296,81.32638194
1.156686,87.76029,37.30527,0551024+371818,36.76,0.194,3,8.128,0.0447,3,0,0,0,0,87.76029,37.30527,HD38944,05476+3717,Z05476+3717,UPS AUR,HR 2011,HD 38944,M0III,26.56,6.493,26.7,6.79,05 51 02.4374,+37 18 20.063,Variable star,5,51,2.4374,37,18,20.063,87.76015583,37.30557306
0.867125,100.99701,13.22778,0643592+131340,11.63,0.0654,3,2.561,0.0214,3,0,0,0,0,100.99701,13.22778,HD48433,06411+1316,Z06411+1316,30 GEM,HR 2478,HD 48433,K0.5III,8.245,1.959,8.48,1.99,06 43 59.2927,+13 13 40.862,Star in double system,6,43,59.2927,13,13,40.862,100.9970529,13.22801722
0.438562,14.18556,26.34006,0056445+262024,10.95,0.0741,3,2.622,0.047,3,0,0,0,0,14.18556,26.34006,HD5462,00540+2604,F00540+2604,,,HD 5462,M0III,8.196,2.127,8.26,2.15,00 56 44.5058,+26 20 24.005,Semi-regular pulsating star,0,56,44.5058,26,20,24.005,14.18544083,26.34000139
0.915875,182.74822,81.70989,1210595+814235,7.124,0.0162,3,1.687,0.0166,3,0,0,0,0,182.74822,81.70989,HD105943,12087+8159,F12087+8159,SAO 1991,HR 4639,HD 105943,K5III,5.329,1.335,5.37,1.28,12 10 59.9853,+81 42 35.397,Star in double system,12,10,59.9853,81,42,35.397,182.7499388,81.7098325
0.474520,87.87247,39.14835,0551293+390854,16.14,0.0333,3,3.512,0.058,3,0,0,0,0,87.87247,39.14835,HD39003,05480+3908,Z05480+3908,NUU AUR,HR 2012,HD 39003,K0III,11.88,2.548,11.7,2.63,05 51 29.3990,+39 08 54.529,Star in double system,5,51,29.399,39,8,54.529,87.87249583,39.14848028
0.315471,62.74598,33.58672,0410590+333512,6.937,0.0418,3,1.55,0.0174,3,0,0,0,0,62.74598,33.58672,HD26311,04077+3327,F04077+3327,,HR 1286,HD 26311,K1II-III,5.081,1.287,5.0,1.31,04 10 59.0209,+33 35 12.452,Star,4,10,59.0209,33,35,12.452,62.74592042,33.58679222
0.364268,113.98056,26.89565,0735553+265344,49.48,0.564,3,13.97,3.1,3,0,0,0,0,113.98056,26.89565,HD60522,07328+2700,F07328+2700,UPS GEM,HR 2905,HD 60522,M0III-IIIb,36.43,8.48,35.5,8.28,07 35 55.3464,+26 53 44.667,Variable star,7,35,55.3464,26,53,44.667,113.98061,26.89574083
1.075391,144.61345,4.64913,0938272+043856,15.45,0.0489,3,3.47,0.0723,3,0,0,0,0,144.61345,4.64913,HD83425,09358+0452,F09358+0452,,HR 3834,HD 83425,K3III,11.08,2.508,10.9,2.63,09 38 27.2883,+04 38 57.454,Star,9,38,27.2883,4,38,57.454,144.6137013,4.649292778
0.078111,88.11014,1.85514,0552264+015118,12.95,0.0486,3,2.907,0.0329,3,0,0,0,0,88.11014,1.85514,HD39400,05498+0150,F05498+0150,56 ORI,HR 2037,HD 39400,K1.5IIb,10.81,2.343,10.7,2.47,05 52 26.4386,+01 51 18.482,Variable star,5,52,26.4386,1,51,18.482,88.11016083,1.855133889
0.244326,120.04879,73.91786,0800117+735504,8.767,0.0329,3,1.986,0.0291,3,0,0,0,0,120.04879,73.91786,HD64307,07542+7403,F07543+7403,,HR 3075,HD 64307,K3III,6.442,1.592,6.33,1.63,08 00 11.7384,+73 55 04.509,Star,8,0,11.7384,73,55,4.509,120.04891,73.91791917
0.585480,126.39801,2.10206,0825355+020607,8.248,0.0456,3,1.859,0.0287,3,0,0,0,0,126.39801,2.10206,HD71095,08229+0215,F08229+0216,,HR 3305,HD 71095,K5III,6.077,1.59,6.04,1.55,08 25 35.5378,+02 06 07.954,Star,8,25,35.5378,2,6,7.954,126.3980742,2.102209444
0.561190,63.24357,32.53258,0412584+323157,6.778,0.0634,3,1.604,0.0596,3,0,0,0,0,63.24357,32.53258,HD26526,04097+3224,F04097+3224,,,HD 26526,M0III,5.191,1.283,5.21,1.33,04 12 58.4434,+32 31 57.823,Star,4,12,58.4434,32,31,57.823,63.24351417,32.53272861
0.500069,107.91386,39.32041,0711393+391913,15.46,0.161,3,3.438,0.0379,3,0,0,0,0,107.91386,39.32041,HD54716,07082+3924,F07082+3924,63 AUR,HR 2696,HD 54716,K3.5III,11.19,2.717,11.2,2.7,07 11 39.3257,+39 19 13.976,Star,7,11,39.3257,39,19,13.976,107.9138571,39.32054889
1.541023,176.51197,47.77957,1146028+474646,27.17,0.132,3,5.826,0.0755,3,0,0,0,0,176.51197,47.77957,HD102224,11434+4803,F11434+4803,CHI UMA,HR 4518,HD 102224,K2III,18.81,4.615,19.3,4.72,11 46 03.0140,+47 46 45.861,Variable star,11,46,3.014,47,46,45.861,176.5125583,47.77940583
0.528151,144.86597,67.2721,0939278+671619,,,0,1.811,0.0234,3,,0,,0,144.86597,67.2721,HD83126,09353+6729,F09353+6729,,HR 3824,HD 83126,M0III,5.795,1.426,5.87,1.5,09 39 27.8747,+67 16 20.029,Star,9,39,27.8747,67,16,20.029,144.8661446,67.27223028
1.533915,126.61532,27.89317,0826276+275335,7.079,0.0526,3,1.603,0.0855,3,0,0,0,0,126.61532,27.89317,HD71093,08234+2803,F08233+2803,PHI 1 CNC,HR 3304,HD 71093,K5III,5.207,1.368,5.22,1.31,08 26 27.7052,+27 53 36.899,Star in double system,8,26,27.7052,27,53,36.899,126.6154383,27.89358306
0.127758,81.24744,73.7072,0524593+734225,9.735,0.0033,3,2.29,0.0222,3,0,0,0,0,81.24744,73.7072,HD34450,05186+7339,F05186+7339,,,HD 34450,M0.5III,7.42,1.849,7.62,1.8,05 24 59.4159,+73 42 25.912,Star,5,24,59.4159,73,42,25.912,81.24756625,73.70719778
0.372037,138.80762,14.94147,0915138+145629,7.432,0.0388,3,1.635,0.0294,3,0,0,0,0,138.80762,14.94147,HD79554,09124+1509,F09124+1509,PI 2 CNC,HR 3669,HD 79554,K1III,5.509,1.229,5.49,1.27,09 15 13.8528,+14 56 29.424,Star,9,15,13.8528,14,56,29.424,138.80772,14.94150667
